::1 - - 17/Feb/2025:08:35:43 +0000 'GET / HTTP/1.1' 200 39 4.715 '-' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/dropzone/dist/basic.css HTTP/1.1' 404 184 12.720 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/layout.css HTTP/1.1' 404 184 14.427 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/components.css HTTP/1.1' 404 184 15.967 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/colors.css HTTP/1.1' 404 184 17.604 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/responsive.css HTTP/1.1' 404 184 16.402 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/plugin-overrides.css HTTP/1.1' 404 184 17.664 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/css/custom/groups.css HTTP/1.1' 404 184 10.628 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /auth/vendor HTTP/1.1' 404 184 11.333 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /auth/config?callback=parseKeycloakConfig HTTP/1.1' 404 184 10.592 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /branding/?callback=parseBrandingInfo HTTP/1.1' 404 184 10.837 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/jquery/dist/jquery.min.js HTTP/1.1' 404 184 10.823 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular/angular.js HTTP/1.1' 404 184 8.569 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1' 404 184 9.136 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-sanitize/angular-sanitize.min.js HTTP/1.1' 404 184 9.851 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /app/scripts/login.js HTTP/1.1' 404 184 8.761 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1' 404 184 10.738 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/oclazyload/dist/ocLazyLoad.min.js HTTP/1.1' 404 184 8.982 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/flatpickr/dist/flatpickr.min.js HTTP/1.1' 404 184 6.392 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-flatpickr/dist/ng-flatpickr.js HTTP/1.1' 404 184 5.845 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ng-table/dist/ng-table.js HTTP/1.1' 404 184 6.444 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-ui-select/dist/select.min.js HTTP/1.1' 404 184 8.056 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/moment/min/moment.min.js HTTP/1.1' 404 184 8.929 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/fullcalendar/dist/fullcalendar.min.js HTTP/1.1' 404 184 7.587 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-fullcalendar/dist/angular-fullcalendar.min.js HTTP/1.1' 404 184 6.634 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-ui-tinymce/src/tinymce.js HTTP/1.1' 404 184 7.045 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/tinymce/tinymce.js HTTP/1.1' 404 184 8.421 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1' 404 184 7.693 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-translate/angular-translate.min.js HTTP/1.1' 404 184 6.229 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-translate-loader-static-files/angular-translate-loader-static-files.min.js HTTP/1.1' 404 184 6.736 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-validation-ghiscoding/dist/angular-validation.min.js HTTP/1.1' 404 184 6.211 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/dropzone/dist/dropzone.js HTTP/1.1' 404 184 8.849 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ng-dropzone/dist/ng-dropzone.js HTTP/1.1' 404 184 10.436 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/angular-progress-arc/angular-progress-arc.min.js HTTP/1.1' 404 184 9.984 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ng-tags-input/ng-tags-input.min.js HTTP/1.1' 404 184 9.255 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/zingchart/zingchart.min.js HTTP/1.1' 404 184 8.276 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /bower_components/ZingChart-AngularJS/src/zingchart-angularjs.js HTTP/1.1' 404 184 8.222 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /dist/edu-erp-groups.js HTTP/1.1' 404 184 5.404 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon.png HTTP/1.1' 404 184 1.938 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon-32x32.png HTTP/1.1' 404 184 1.772 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon-16x16.png HTTP/1.1' 404 184 3.297 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon-96x96.png HTTP/1.1' 404 184 2.075 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon-160x160.png HTTP/1.1' 404 184 1.663 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:25 +0000 'GET /assets/img/favicons/favicon-192x192.png HTTP/1.1' 404 184 1.555 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/flatpickr/dist/flatpickr.min.css HTTP/1.1' 404 184 3.706 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/angular-ui-select/dist/select.min.css HTTP/1.1' 404 184 4.809 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/ng-tags-input/ng-tags-input.min.css HTTP/1.1' 404 184 5.592 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/fonts/css/line-awesome.css HTTP/1.1' 404 184 6.103 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/ng-table/dist/ng-table.css HTTP/1.1' 404 184 7.299 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1' 404 184 10.517 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/animate.css HTTP/1.1' 404 184 6.390 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/dropzone/dist/dropzone.css HTTP/1.1' 404 184 7.836 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /bower_components/dropzone/dist/basic.css HTTP/1.1' 404 184 8.454 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/layout.css HTTP/1.1' 404 184 9.140 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/components.css HTTP/1.1' 404 184 9.489 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/colors.css HTTP/1.1' 404 184 8.726 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/responsive.css HTTP/1.1' 404 184 4.269 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/plugin-overrides.css HTTP/1.1' 404 184 5.105 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:44:29 +0000 'GET /assets/css/custom/groups.css HTTP/1.1' 404 184 6.312 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET / HTTP/1.1' 200 59988 3.360 '-' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/ionicons.min.css HTTP/1.1' 404 184 2.749 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/bootstrap-custom.css HTTP/1.1' 404 184 6.656 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/tiny-slider.css HTTP/1.1' 404 184 3.796 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/lity.min.css HTTP/1.1' 404 184 5.171 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/simplebar.min.css HTTP/1.1' 404 184 6.493 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/jquery.mb.YTPlayer.min.css HTTP/1.1' 404 184 7.606 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/main.css HTTP/1.1' 404 184 9.230 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/colors/main-darkgreen.css HTTP/1.1' 404 184 11.541 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /css/custom.css HTTP/1.1' 404 184 8.794 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /customizer/main.css HTTP/1.1' 404 184 9.333 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /auth/vendor HTTP/1.1' 404 184 11.603 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /auth/config?callback=parseKeycloakConfig HTTP/1.1' 404 184 13.183 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /branding/?callback=parseBrandingInfo HTTP/1.1' 404 184 14.143 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/jquery/dist/jquery.min.js HTTP/1.1' 404 184 17.176 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/angular/angular.js HTTP/1.1' 404 184 13.253 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1' 404 184 12.520 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/angular-sanitize/angular-sanitize.min.js HTTP/1.1' 404 184 13.653 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /app/scripts/login.js HTTP/1.1' 404 184 12.950 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1' 404 184 12.518 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/oclazyload/dist/ocLazyLoad.min.js HTTP/1.1' 404 184 13.267 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/flatpickr/dist/flatpickr.min.js HTTP/1.1' 404 184 8.965 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
::1 - - 17/Feb/2025:08:49:42 +0000 'GET /bower_components/ng-table/dist/ng-table.js HTTP/1.1' 404 184 7.505 'http://localhost:8025/' 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36'
